Datum Name,Code,Ellipsoid Name,Ellipsoid Code,EPSG
Ordanance Survey of Great Britain 1936,OGB,Airy,AA,27700
AGD 1966,AGE,Australian National,AN,
AGD 1984,AGD,Australian National,AN,
Anna 1 Astro 1965 (Cocos Is.),ANO,Australian National,AN,
Australian Geodetic,AUA,Australian National,AN,
Postdam,PDM,Bessel,BR,
Berne 1873,BRN,Bessel 1841,BR,
Bukit Rimpah (Indonesia),BUR,Bessel 1841,BR,
CH-1903,CHI,Bessel 1841,BR,
"Djakarta (Batavia), Indonesia",BAT,Bessel 1841,BR,
G. Segara (Indonesia),GSE,Bessel 1841,BR,
"Massawa, (Eritrea), Ethopia",MAS,Bessel 1841,BR,
Netherlands Triangulation 1921,NTH,Bessel 1841,BR,
Portuguese Datum DLX,DLX,Bessel 1841,BR,
RT90 (Sweden),STO,Bessel 1841,BR,
"Schwarzeck, Southwest Africa",SCK,Bessel 1841,BR,
Tokyo,TOY,Bessel 1841,BR,
Bermuda 1957,BER,Clarke 1866,CC,
Cape Canaveral,CAC,Clarke 1866,CC,
Guam 1963,GUA,Clarke 1866,CC,
L.C. 5 Astro (Cayman Brac I.),LCF,Clarke 1866,CC,
"Luzon, Philippines",LUZ,Clarke 1866,CC,
North American 1927,NAS,Clarke 1866,CC,
North American 1927 Caribbean,NAT,Clarke 1866,CC,
North American 1927 Mexico and C. America,NAU,Clarke 1866,CC,
Old Hawaiian,OHA,Clarke 1866,CC,
Puerto Rico,PUR,Clarke 1866,CC,
Adindan,ADI,Clarke 1880,CD,
"Arc 1950, Africa",ARF,Clarke 1880,CD,
Arc 1960,ARS,Clarke 1880,CD,
Cape,CAP,Clarke 1880,CD,
Carthage,CGE,Clarke 1880,CD,
Liberia 1964 (Roberts Field Astro),LIB,Clarke 1880,CD,
"Mahe 1971, Mahe Island",MIK,Clarke 1880,CD,
"Merchich, Morocco",MER,Clarke 1880,CD,
Minna,MIN,Clarke 1880,CD,
"Monavatu, Viti Levu I., Fiji Is.",MVS,Clarke 1880,CD,
Nahrwan,NAH,Clarke 1880,CD,
Nigeria,NIG,Clarke 1880,CD,
Nouvelle Triangulation de France (France),IGF,Clarke 1880,CD,
Oman,FAH,Clarke 1880,CD,
Danish GI 1934,DAN,Danish,DA,
"Reykjavik, Iceland",REY,Danish (1876) or Andrae,DA,
Indian,IND,Everest,EA,
Kandawala Datum (Sri Lanka),KAN,Everest,EA,
"Timbalai 1948, Borneo",TIL,Everest,EA,
"Stockholm, Sweden",STO,GRS 1980,RF,
GGRS 87 (Greece),GRX,GRS 80,RF,
North American 1983,NAR,GRS-80 (WGS-84),RF,
La Canoa,LAC,Hayford 1909,HA,
