datum name,region of use,datum code,ellipsoid code,dx,dy,dz,ex,ey,ez,sat,epsg
Ordnance Survey Great Britain 1936,England,,AA,371,-112,434,5,5,6,21,
Ordnance Survey Great Britain 1936,England; Isle of Man; Wales,,AA,371,-111,434,10,10,15,25,
Ordnance Survey Great Britain 1936,MEAN FOR England; Isle of Man; Scotland; Shetland Islands; Wales,,AA,375,-111,431,10,10,15,38,4277
Ordnance Survey Great Britain 1936,Scotland; Shetland Islands,,AA,384,-111,425,10,10,10,13,
Ordnance Survey Great Britain 1936,Wales,,AA,370,-108,434,20,20,20,3,
Anna 1 Astro 1965,Cocos Islands,,AN,-491,-22,435,25,25,25,1,
Australian Geodetic 1966,Australia; Tasmania,,AN,-133,-48,148,3,3,3,105,
Australian Geodetic 1984,Australia; Tasmania,,AN,-134,-48,149,2,2,2,90,
Bukit Rimpah,Indonesia (Bangka & Belitung Ids),,BR,-384,664,-48,-1,-1,-1,0,
Djakarta (Batavia),Indonesia (Sumatra),,BR,-377,681,-50,3,3,3,5,
Estonia; Coordinate System 1937,Estonia,,BR,374,150,588,2,3,3,19,
Gunung Segara,Indonesia (Kalimantan),,BR,-403,684,41,-1,-1,-1,0,
Hermannskogel Datum,Croatia; Bosnia-Herzegovina,,BR,653,-212,449,-1,-1,-1,0,
Massawa,Ethiopia (Eritrea),,BR,639,405,60,25,25,25,1,
Schwarzeck,Namibia,,BR,616,97,-251,20,20,20,3,
S-JTSK,Czechoslavakia (Prior 1 JAN 1993),,BR,589,76,480,4,2,3,6,
Tokyo,Japan,,BR,-148,507,685,8,5,8,16,
Tokyo,MEAN FOR Japan; South Korea; Okinawa,,BR,-148,507,685,20,5,20,31,
Tokyo,Okinawa,,BR,-158,507,676,20,5,20,3,
Tokyo,South Korea,,BR,-147,506,687,2,2,2,29,
American Samoa 1962,American Samoa Islands,,CC,-115,118,426,25,25,25,2,
Bermuda 1957,Bermuda,,CC,-73,213,296,20,20,20,3,
Cape Canaveral,Bahamas; Florida,,CC,-2,151,181,3,3,3,19,
Guam 1963,Guam,,CC,-100,-248,259,3,3,3,5,
L. C. 5 Astro 1961,Cayman Brac Island,,CC,42,124,147,25,25,25,1,
Luzon,Philippines (Excluding Mindanao),,CC,-133,-77,-51,8,11,9,6,
Luzon,Philippines (Mindanao),,CC,-133,-79,-72,25,25,25,1,
North American 1927,Alaska (Excluding Aleutian Ids),,CC,-5,135,172,5,9,5,47,
North American 1927,Alaska (Aleutian Ids East of 180øW),,CC,-2,152,149,6,8,10,6,
North American 1927,Alaska (Aleutian Ids West of 180øW),,CC,2,204,105,10,10,10,5,
North American 1927,Bahamas (Except San Salvador Id),,CC,-4,154,178,5,3,5,11,
North American 1927,Bahamas (San Salvador Island),,CC,1,140,165,25,25,25,1,
North American 1927,Canada (Alberta; British Columbia),,CC,-7,162,188,8,8,6,25,
North American 1927,Canada (Manitoba; Ontario),,CC,-9,157,184,9,5,5,25,
North American 1927,Canada (New Brunswick; Newfoundland; Nova Scotia; Quebec),,CC,-22,160,190,6,6,3,37,
North American 1927,Canada (Northwest Territories; Saskatchewan),,CC,4,159,188,5,5,3,17,
North American 1927,Canada (Yukon),,CC,-7,139,181,5,8,3,8,
North American 1927,Canal Zone,,CC,0,125,201,20,20,20,3,
North American 1927,Cuba,,CC,-9,152,178,25,25,25,1,
North American 1927,Greenland (Hayes Peninsula),,CC,11,114,195,25,25,25,2,
North American 1927,MEAN FOR Antigua; Barbados; Barbuda; Caicos Islands; Cuba; Dominican Republic; Grand Cayman; Jamaica; Turks Islands,,CC,-3,142,183,3,9,12,15,
North American 1927,MEAN FOR Belize; Costa Rica; El Salvador; Guatemala; Honduras; Nicaragua,,CC,0,125,194,8,3,5,19,
North American 1927,MEAN FOR Canada,,CC,-10,158,187,15,11,6,112,
North American 1927,MEAN FOR CONUS,,CC,-8,160,176,5,5,6,405,
North American 1927,MEAN FOR CONUS (East of Mississippi; River Including Louisiana; Missouri; Minnesota),,CC,-9,161,179,5,5,8,129,
North American 1927,MEAN FOR CONUS (West of Mississippi; River Excluding Louisiana; Minnesota; Missouri),,CC,-8,159,175,5,3,3,276,
North American 1927,Mexico,,CC,-12,130,190,8,6,6,22,
Old Hawaiian,Hawaii,,CC,89,-279,-183,25,25,25,2,
Old Hawaiian,Kauai,,CC,45,-290,-172,20,20,20,3,
Old Hawaiian,Maui,,CC,65,-290,-190,25,25,25,2,
Old Hawaiian,MEAN FOR Hawaii; Kauai; Maui; Oahu,,CC,61,-285,-181,25,20,20,15,
Old Hawaiian,Oahu,,CC,58,-283,-182,10,6,6,8,
Puerto Rico,Puerto Rico; Virgin Islands,,CC,11,72,-101,3,3,3,11,
Adindan,Burkina Faso,,CD,-118,-14,218,25,25,25,1,
Adindan,Cameroon,,CD,-134,-2,210,25,25,25,1,
Adindan,Ethiopia,,CD,-165,-11,206,3,3,3,8,
Adindan,Mali,,CD,-123,-20,220,25,25,25,1,
Adindan,MEAN FOR Ethiopia; Sudan,,CD,-166,-15,204,5,5,3,22,
Adindan,Senegal,,CD,-128,-18,224,25,25,25,2,
Adindan,Sudan,,CD,-161,-14,205,3,5,3,14,
Antigua Island Astro 1943,Antigua (Leeward Islands),,CD,-270,13,62,25,25,25,1,
Arc 1950,Botswana,,CD,-138,-105,-289,3,5,3,9,
Arc 1950,Burundi,,CD,-153,-5,-292,20,20,20,3,
Arc 1950,Lesotho,,CD,-125,-108,-295,3,3,8,5,
Arc 1950,Malawi,,CD,-161,-73,-317,9,24,8,6,
Arc 1950,MEAN FOR Botswana; Lesotho; Malawi; Swaziland; Zaire; Zambia; Zimbabwe,,CD,-143,-90,-294,20,33,20,41,
Arc 1950,Swaziland,,CD,-134,-105,-295,15,15,15,4,
Arc 1950,Zaire,,CD,-169,-19,-278,25,25,25,2,
Arc 1950,Zambia,,CD,-147,-74,-283,21,21,27,5,
Arc 1950,Zimbabwe,,CD,-142,-96,-293,5,8,11,10,
Arc 1960,MEAN FOR Kenya; Tanzania,,CD,-160,-6,-302,20,20,20,25,
Arc 1960,Kenya,,CD,-157,-2,-299,4,3,3,24,
Arc 1960,Taanzania,,CD,-175,-23,-303,6,9,10,12,
Ayabelle Lighthouse,Djibouti,,CD,-79,-129,145,25,25,25,1,
Cape,South Africa,,CD,-136,-108,-292,3,6,6,5,
Carthage,Tunisia,,CD,-263,6,431,6,9,8,5,
Dabola,Guinea,,CD,-83,37,124,15,15,15,4,
Deception Island,Deception Island; Antarctia,,CD,260,12,-147,20,20,20,3,
Fort Thomas 1955,Nevis; St. Kitts (Leeward Islands),,CD,-7,215,225,25,25,25,2,
Leigon,Ghana,,CD,-130,29,364,2,3,2,8,
Liberia 1964,Liberia,,CD,-90,40,88,15,15,15,4,
Mahe 1971,Mahe Island,,CD,41,-220,-134,25,25,25,1,
Merchich,Morocco,,CD,31,146,47,5,3,3,9,
Minna,Cameroon,,CD,-81,-84,115,25,25,25,2,
Minna,Nigeria,,CD,-92,-93,122,3,6,5,6,
Montserrat Island Astro 1958,Montserrat (Leeward Islands),,CD,174,359,365,25,25,25,1,
M'Poraloko,Gabon,,CD,-74,-130,42,25,25,25,1,
Nahrwan,Oman (Masirah Island),,CD,-247,-148,369,25,25,25,2,
Nahrwan,Saudi Arabia,,CD,-243,-192,477,20,20,20,3,
Nahrwan,United Arab Emirates,,CD,-249,-156,381,25,25,25,2,
North Sahara 1959,Algeria,,CD,-186,-93,310,25,25,25,3,
Oman,Oman,,CD,-346,-1,224,3,3,9,7,
Point 58,MEAN FOR Burkina Faso & Niger,,CD,-106,-129,165,25,25,25,1,
Pointe Noire 1948,Congo,,CD,-148,51,-291,25,25,25,1,
Sierra Leone 1960,Sierra Leone,,CD,-88,4,101,15,15,15,8,
Viti Levu 1916,Fiji (Viti Levu Island),,CD,51,391,-36,25,25,25,1,
Voirol 1960,Algeria,,CD,-123,-206,219,25,25,25,2,
Indian,Bangladesh,,EA,282,726,254,10,8,12,6,
Indian,India; Nepal,,EC,295,736,257,12,10,15,7,
Indian,Pakistan,,EF,283,682,231,-1,-1,-1,0,
Indian 1954,Thailand,,EA,217,823,299,15,6,12,11,
Indian 1960,Vietnam (Con Son Island),,EA,182,915,344,25,25,25,1,
Indian 1960,Vietnam (Near 16øN),,EA,198,881,317,25,25,25,2,
Indian 1975,Thailand,,EA,210,814,289,3,2,3,62,
Kandawala,Sri Lanka,,EA,-97,787,86,20,20,20,3,
Kertau 1948,West Malaysia & Singapore,,EE,-11,851,5,10,8,6,6,
Timbalai 1948,Brunei; E. Malaysia (Sabah Sarawak),,EB,-679,669,-48,10,10,12,8,
Korean Geodetic System,South Korea,,RF,0,0,0,2,2,2,12,
North American 1983,Alaska (Excluding Aleutian Ids),,RF,0,0,0,2,2,2,42,
North American 1983,Aleutian Ids,,RF,-2,0,4,5,2,5,4,
North American 1983,Canada,,RF,0,0,0,2,2,2,96,4617
North American 1983,CONUS,,RF,0,0,0,2,2,2,216,
North American 1983,Hawaii,,RF,1,1,-1,2,2,2,6,
North American 1983,Mexico; Central America,,RF,0,0,0,2,2,2,25,
Old Egyptian 1907,Egypt,,HE,-130,110,-13,3,6,8,14,
Wake-Eniwetok 1960,Marshall Islands,,HO,102,52,-38,3,3,3,10,
Ain el Abd 1970,Bahrain,,IN,-150,-250,-1,25,25,25,2,
Ain el Abd 1970,Saudi Arabia,,IN,-143,-236,7,10,10,10,9,
Ascension Island 1958,Ascension Island,,IN,-205,107,53,25,25,25,2,
Astro Beacon E 1945,Iwo Jima,,IN,145,75,-272,25,25,25,1,
